file,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-04_32_59.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,95.88,74.07000000000001,73.66,96.53,82.73,82.65,82.65,63.970000000000006,63.75999999999999,89.48,57.45,60.31999999999999,45.47,29.39,29.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-19_32_32.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.04,75.28,74.83999999999999,96.7,84.09,83.99,82.69,64.61,64.39,89.99000000000001,58.93000000000001,61.38,45.2,29.349999999999998,29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-03_29_06.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.05,74.48,73.99,96.71,83.04,82.99,82.45,64.16,63.690000000000005,90.07,57.75,60.519999999999996,46.650000000000006,30.54,30.380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-07_37_30.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.1,75.47,75.01,96.7,83.34,83.22,84.03,66.60000000000001,66.2,89.91,57.95,60.22,50.91,34.25,34.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_25-23_23_34.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,96.12,75.84,75.3,96.76,84.75,84.69,83.27,65.56,64.86,89.74,58.18,60.95,50.72,34.36,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-17_26_35.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.38,76.0,75.78,97.00999999999999,84.78,84.78999999999999,83.52000000000001,65.67,65.56,91.03999999999999,62.5,64.48,43.75,28.18,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_27-21_52_30.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.46000000000001,77.95,77.58,97.0,85.57000000000001,85.52,85.39,68.93,68.69,90.69,61.67,63.839999999999996,52.54,35.83,35.730000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-20_30_58.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.59,78.17,77.52,97.13000000000001,84.81,84.56,85.71,70.14,69.52000000000001,91.3,61.86000000000001,63.9,62.050000000000004,45.5,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_27-23_50_25.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.73,80.06,79.55,97.22,86.67,86.56,86.76,71.83,71.32,91.35,63.38,65.06,61.41,44.519999999999996,44.379999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-21_54_33.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.78999999999999,79.36,79.12,97.36,87.53,87.64,85.24000000000001,68.75,68.51,91.7,65.09,66.27,48.64,32.36,32.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-18_19_24.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,96.8,79.69000000000001,79.4,97.37,88.19,88.17,85.22999999999999,68.87,68.47,91.67,64.7,66.51,48.1,31.819999999999997,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-06_44_57.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.85000000000001,81.25,80.86,97.32,88.03999999999999,88.03999999999999,87.24,72.68,72.19,91.43,63.73,65.25,59.69,43.01,42.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_27-00_44_17.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.86,79.62,79.29,97.39,87.27000000000001,87.29,86.18,70.19999999999999,70.02000000000001,91.81,63.77,65.79,51.18000000000001,34.53,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-10_39_21.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,96.86,81.46,81.03,97.32,87.77000000000001,87.7,87.55,73.49,72.99,91.46,64.29,65.89,61.14000000000001,44.55,44.379999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe2-lemma-2021_02_26-18_46_34.tar,lemma,Adam-LSTM-H170-C200,Adam,LSTM,170,200,0.0,96.87,81.04,80.56,97.33000000000001,87.76,87.55,87.45,72.95,72.64,91.59,63.949999999999996,65.45,59.51,42.620000000000005,42.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe3-lemma-2021_02_27-13_20_21.tar,lemma,Adam-LSTM-H170-C256,Adam,LSTM,170,256,0.0,96.88,80.95,80.58,97.36,87.66000000000001,87.64,87.26,72.77,72.26,91.63,63.39,65.03999999999999,60.419999999999995,43.51,43.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
