,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-20_37_45.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,24.966666666666665,97.07000000000001,82.86,82.52000000000001,97.54,89.91,89.92,87.78,73.77,73.27,91.77,66.36999999999999,67.61,60.209999999999994,43.49,43.21,27.0,12.0,10.0,30.0,14.0,13.0,19.0,16.0,18.0,37.5,34.0,34.0,37.0,36.0,37.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-05_37_06.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,18.633333333333333,97.08,82.89999999999999,82.57,97.53,89.64999999999999,89.60000000000001,88.19,74.27,73.92999999999999,91.85,67.06,68.11,62.160000000000004,45.39,45.379999999999995,25.5,10.0,9.0,32.5,25.0,25.0,10.0,10.0,10.0,34.0,29.0,27.5,12.0,11.0,9.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_09-06_56_47.tar,lemma,Ranger-LSTM-H170-C300,Ranger,LSTM,170,300,39.166666666666664,97.08,81.0,80.67999999999999,97.63,89.61,89.55,86.05000000000001,70.05,69.78999999999999,92.25,67.16,67.97999999999999,48.980000000000004,32.5,32.379999999999995,25.5,41.0,39.0,19.5,27.0,26.0,58.0,56.0,57.0,13.5,26.0,31.0,56.0,56.0,56.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-14_22_34.tar,lemma,Ranger-LSTM-H170-C300,Ranger,LSTM,170,300,34.8,97.1,81.52000000000001,81.24,97.61999999999999,89.85,89.78,86.65,71.2,70.76,92.16,67.60000000000001,68.25,48.010000000000005,31.81,31.730000000000004,24.0,32.5,31.0,21.5,15.0,17.0,41.0,46.0,47.0,21.0,22.0,24.0,60.0,60.0,60.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-11_13_00.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,30.2,97.11,81.95,81.81,97.63,90.21000000000001,90.28,86.87,71.52,71.34,92.08,68.06,69.23,47.83,31.61,31.509999999999998,23.0,27.0,26.0,19.5,7.0,5.0,37.0,39.0,38.0,26.0,11.5,9.0,61.0,62.0,62.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-12_50_11.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,19.9,97.11999999999999,82.71,82.36,97.58,89.39,89.44,88.0,74.14,73.68,92.03,67.15,68.17999999999999,62.25000000000001,45.17,45.06,21.5,16.0,16.0,26.0,30.0,30.0,14.5,13.0,13.0,28.0,27.0,26.0,10.0,14.5,13.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-22_36_46.tar,lemma,Ranger-LSTM-H170-C300,Ranger,LSTM,170,300,29.566666666666666,97.11999999999999,81.91000000000001,81.64,97.64,90.14999999999999,90.19,86.82,71.46000000000001,71.13000000000001,92.17999999999999,67.93,68.77,49.43,32.690000000000005,32.550000000000004,21.5,28.0,28.0,17.0,9.0,8.0,38.0,41.0,39.0,19.0,16.0,15.0,54.0,55.0,55.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-14_27_18.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,32.86666666666667,97.13000000000001,81.52000000000001,81.33,97.67,90.09,90.03999999999999,86.4,70.59,70.44,92.28,67.94,68.56,48.449999999999996,32.09,31.979999999999997,20.0,32.5,30.0,11.5,11.0,11.0,49.0,55.0,49.0,12.0,15.0,20.0,59.0,59.0,59.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-16_51_26.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,17.133333333333333,97.14,82.84,82.39,97.6,89.62,89.5,87.96000000000001,73.98,73.56,92.13,67.84,68.71000000000001,62.25000000000001,45.43,45.34,19.0,13.0,14.0,25.0,26.0,28.0,16.0,15.0,15.0,22.0,18.0,16.0,10.0,10.0,10.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-11_03_07.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,26.233333333333334,97.16,82.53,82.23,97.66,90.42,90.42,87.13,72.03,71.74000000000001,92.21000000000001,67.54,68.08999999999999,53.05,36.33,36.1,17.5,21.0,18.0,14.0,3.0,3.0,31.0,34.0,34.0,16.0,23.0,29.0,50.0,50.0,50.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-20_36_20.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,16.666666666666668,97.16,82.66,82.21000000000001,97.61999999999999,89.66,89.64,88.0,73.45,72.97,92.17,68.71000000000001,69.5,61.980000000000004,45.18,44.940000000000005,17.5,18.0,20.0,21.5,24.0,21.5,14.5,19.0,20.0,20.0,6.0,4.0,15.0,13.0,16.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-09_34_30.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,20.7,97.17,83.09,82.75,97.64,90.34,90.31,87.86,73.65,73.28,92.11,67.63,68.63,57.74,40.64,40.5,16.0,8.0,6.0,17.0,4.0,4.0,18.0,18.0,16.5,23.0,21.0,18.0,47.0,47.0,47.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-17_28_36.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,11.0,97.18,83.26,82.88,97.61,89.83,89.75999999999999,88.56,75.05,74.58,92.05,68.06,68.58,62.51,45.89,45.62,15.0,3.0,3.0,23.5,18.0,19.0,3.0,3.0,3.0,27.0,11.5,19.0,5.0,5.5,6.5
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_09-01_06_17.tar,lemma,Ranger-LSTM-H170-C250,Ranger,LSTM,170,250,16.366666666666667,97.19,82.92,82.46,97.64,89.75,89.63,88.34,74.46000000000001,73.98,92.2,67.52,68.26,61.8,44.89,44.65,14.0,9.0,11.0,17.0,20.0,23.5,8.0,9.0,9.0,17.5,24.0,23.0,19.5,20.0,21.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-19_20_02.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,8.2,97.21,83.19,82.72,97.66,89.98,89.88000000000001,88.24,74.59,74.06,92.29,68.5,69.43,63.31,46.800000000000004,46.5,13.0,5.5,7.5,14.0,13.0,14.0,9.0,8.0,7.5,11.0,8.5,6.0,2.0,2.0,2.0
