,S,Ignore,URN,Nom FR,Birth,Death,certainty,certainty.1,Citation level,Name of citation level,Sources,Sources Pages,Notes,Nom EN,Titre
63,,,urn:cts:latinLit:stoa0159.stoa003a.digilibLT-lat1,Isidore de Séville,560.0,636.0,medium,high,,paragraph,Fredouille,465,,Isidorus Hispalensis,"Dedicatio historiarum Gothorum, Vandalorum, Sueborum ad Sisenandum regem"
64,,,urn:cts:latinLit:stoa0162.stoa007.corpuscorporum-lat1,Jérôme,347.0,419.0,high,high,,"book,section",Fredouille,389,,Jerome Saint d. 419 or 20,Adversus Jovinianum
65,,,urn:cts:latinLit:stoa0162.stoa023.corpuscorporum-lat1,Jérôme,347.0,419.0,high,high,,chapter,Fredouille,389,,Jerome Saint d. 419 or 20,Commentaria in Isaiam libri octo et decem (in Iesaiam Commentarii)
66,,,urn:cts:latinLit:stoa0162.stoa038.corpuscorporum-lat1,Jérôme,347.0,419.0,high,high,,"book,chapter",Fredouille,389,,Jerome Saint d. 419 or 20,Contra Vigilantium Liber
67,,,urn:cts:latinLit:stoa0162.stoa062.corpuscorporum-lat1,Jérôme,347.0,419.0,high,high,,section,Fredouille,389,,Jerome Saint d. 419 or 20,Vita Malchi monachi captivi
68,,,urn:cts:latinLit:stoa0168.stoa001c.droitromain-lat1,Justinien,482.0,565.0,high,high,,"book,chapter,section",Oxford Classical Dictionary 2nd Edition,,,Iustinianus,Codex Iustinianus
69,,,urn:cts:latinLit:stoa0171a.stoa001.digilibLT-lat1,,,,,,,"books,scholia",,,,Lactantius Placidus,In Statii Thebaida commentum
70,,,urn:cts:latinLit:stoa0186.stoa001.digilibLT-lat1,Macrobe,380.0,440.0,medium-high,medium-high,,"books,chapters",Fredouille,422,,Macrobe,Saturnalia
71,,,urn:cts:latinLit:stoa0186.stoa002.digilibLT-lat1,Macrobe,380.0,440.0,medium-high,medium-high,,"books,chapters",Fredouille,422,,Macrobe,In somnium Scipionis commentarii
72,,,urn:cts:latinLit:stoa0187a.stoa001.digilibLT-lat1,,,,,,,section,,,,Mallius Theodorus,De metris
