,Name,WordSet,Window,Cooc min,Clusters,Similar Clusters,Similar Clusters %,Lengths cluster
29,Martial et priapea,Puer et al.,10,5,5,5,1.0,"[1, 20, 1, 4, 1]"
287,Small passages,Puer et al.,5,20,6,6,1.0,"[5, 1, 10, 12, 15, 5]"
288,Small passages,Puer et al.,5,20,7,7,1.0,"[5, 1, 1, 12, 15, 9, 5]"
12,Martial et priapea,Puer et al.,5,10,3,3,1.0,"[1, 6, 1]"
13,Martial et priapea,Puer et al.,5,10,4,4,1.0,"[2, 1, 4, 1]"
289,Small passages,Puer et al.,5,20,8,8,1.0,"[1, 5, 1, 12, 14, 1, 9, 5]"
14,Martial et priapea,Puer et al.,5,10,5,5,1.0,"[1, 1, 2, 1, 3]"
16,Martial et priapea,Puer et al.,5,10,7,7,1.0,"[1, 2, 1, 1, 1, 1, 1]"
17,Martial et priapea,Puer et al.,5,20,3,3,1.0,"[2, 3, 2]"
195,Martial et priapea,4 Fields,10,1,4,4,1.0,"[2, 3, 1, 156]"
243,Martial et priapea,4 Fields,20,1,4,4,1.0,"[2, 2, 214, 1]"
286,Small passages,Puer et al.,5,20,5,5,1.0,"[5, 1, 12, 20, 10]"
242,Martial et priapea,4 Fields,20,1,3,3,1.0,"[2, 2, 215]"
149,Martial et priapea,Carmen et al.,20,1,4,4,1.0,"[155, 1, 2, 2]"
34,Martial et priapea,Puer et al.,10,10,4,4,1.0,"[2, 1, 1, 6]"
257,Martial et priapea,4 Fields,20,10,6,6,1.0,"[1, 2, 7, 2, 3, 18]"
108,Martial et priapea,Carmen et al.,10,1,4,4,1.0,"[128, 2, 1, 1]"
109,Martial et priapea,Carmen et al.,10,1,5,5,1.0,"[1, 1, 127, 1, 2]"
169,Martial et priapea,Carmen et al.,20,20,6,6,1.0,"[1, 1, 1, 2, 1, 1]"
168,Martial et priapea,Carmen et al.,20,20,5,5,1.0,"[3, 1, 1, 1, 1]"
225,Martial et priapea,4 Fields,15,5,4,4,1.0,"[1, 47, 2, 1]"
122,Martial et priapea,Carmen et al.,10,10,6,6,1.0,"[3, 1, 1, 1, 1, 1]"
123,Martial et priapea,Carmen et al.,10,10,7,7,1.0,"[1, 1, 1, 1, 1, 1, 2]"
224,Martial et priapea,4 Fields,15,5,3,3,1.0,"[48, 2, 1]"
128,Martial et priapea,Carmen et al.,15,1,4,4,1.0,"[2, 1, 140, 2]"
129,Martial et priapea,Carmen et al.,15,1,5,5,1.0,"[139, 2, 1, 1, 2]"
160,Martial et priapea,Carmen et al.,20,10,3,3,1.0,"[6, 4, 1]"
385,Small passages,Carmen et al.,5,20,8,8,1.0,"[1, 1, 1, 11, 6, 1, 5, 1]"
384,Small passages,Carmen et al.,5,20,7,7,1.0,"[1, 12, 1, 1, 6, 1, 5]"
383,Small passages,Carmen et al.,5,20,6,6,1.0,"[12, 1, 6, 1, 6, 1]"
382,Small passages,Carmen et al.,5,20,5,5,1.0,"[1, 6, 18, 1, 1]"
381,Small passages,Carmen et al.,5,20,4,4,1.0,"[18, 7, 1, 1]"
380,Small passages,Carmen et al.,5,20,3,3,1.0,"[18, 1, 8]"
374,Small passages,Carmen et al.,5,10,3,3,1.0,"[64, 1, 1]"
143,Martial et priapea,Carmen et al.,15,10,7,7,1.0,"[3, 1, 1, 1, 1, 1, 1]"
146,Martial et priapea,Carmen et al.,15,20,4,4,1.0,"[3, 1, 1, 1]"
147,Martial et priapea,Carmen et al.,15,20,5,5,1.0,"[1, 1, 2, 1, 1]"
148,Martial et priapea,Carmen et al.,20,1,3,3,1.0,"[156, 2, 2]"
102,Martial et priapea,Carmen et al.,5,10,4,4,1.0,"[2, 2, 1, 1]"
101,Martial et priapea,Carmen et al.,5,10,3,3,1.0,"[3, 2, 1]"
100,Martial et priapea,Carmen et al.,5,5,8,8,1.0,"[3, 1, 1, 1, 1, 1, 1, 1]"
98,Martial et priapea,Carmen et al.,5,5,6,6,1.0,"[1, 1, 1, 4, 1, 2]"
248,Martial et priapea,4 Fields,20,5,3,3,1.0,"[54, 2, 1]"
36,Martial et priapea,Puer et al.,10,10,6,6,1.0,"[1, 1, 2, 1, 1, 4]"
194,Martial et priapea,4 Fields,10,1,3,3,1.0,"[157, 3, 2]"
308,Small passages,Puer et al.,10,20,3,3,1.0,"[2, 67, 30]"
309,Small passages,Puer et al.,10,20,4,4,1.0,"[2, 67, 20, 10]"
249,Martial et priapea,4 Fields,20,5,4,4,1.0,"[52, 2, 1, 2]"
38,Martial et priapea,Puer et al.,10,10,8,8,1.0,"[1, 1, 1, 1, 3, 1, 1, 1]"
39,Martial et priapea,Puer et al.,10,20,3,3,1.0,"[2, 4, 1]"
481,Small passages,4 Fields,5,20,8,8,1.0,"[1, 2, 1, 1, 49, 1, 1, 1]"
479,Small passages,4 Fields,5,20,6,6,1.0,"[2, 1, 1, 49, 3, 1]"
478,Small passages,4 Fields,5,20,5,5,1.0,"[51, 1, 1, 3, 1]"
33,Martial et priapea,Puer et al.,10,10,3,3,1.0,"[8, 1, 1]"
477,Small passages,4 Fields,5,20,4,4,1.0,"[4, 51, 1, 1]"
41,Martial et priapea,Puer et al.,10,20,5,5,1.0,"[1, 1, 1, 3, 1]"
42,Martial et priapea,Puer et al.,10,20,6,6,1.0,"[1, 1, 1, 1, 1, 2]"
55,Martial et priapea,Puer et al.,15,10,3,3,1.0,"[13, 1, 1]"
150,Martial et priapea,Carmen et al.,20,1,5,5,1.0,"[154, 2, 1, 1, 2]"
61,Martial et priapea,Puer et al.,15,20,3,3,1.0,"[1, 5, 1]"
64,Martial et priapea,Puer et al.,15,20,6,6,1.0,"[1, 1, 1, 1, 1, 2]"
254,Martial et priapea,4 Fields,20,10,3,3,1.0,"[25, 2, 6]"
77,Martial et priapea,Puer et al.,20,10,3,3,1.0,"[19, 1, 1]"
90,Martial et priapea,Carmen et al.,5,1,4,4,1.0,"[92, 1, 1, 1]"
91,Martial et priapea,Carmen et al.,5,1,5,5,1.0,"[1, 1, 5, 1, 87]"
95,Martial et priapea,Carmen et al.,5,5,3,3,1.0,"[1, 1, 8]"
476,Small passages,4 Fields,5,20,3,3,1.0,"[51, 5, 1]"
56,Martial et priapea,Puer et al.,15,10,4,4,1.0,"[3, 1, 1, 10]"
